Woodrow;Coolidge;768769500;Homme;3;1
Dwight;Adams;762608666;Femme;1;2
Harry;Carter;778364149;Femme;3;3
Gerald;Washington;751993555;Homme;3;4
Chester;Hoover;750859143;Homme;1;5
Bill;Wilson;706363963;Homme;2;6
Gerald;Clinton;756551596;Femme;2;7
Grover;Coolidge;761541931;Femme;1;8
Warren;McKinley;700422950;Femme;1;9
Benjamin;Arthur;707137581;Homme;1;10
Andrew;Nixon;782349828;Femme;2;11
Dwight;Nixon;774036346;Femme;3;12
John;Harrison;757785965;Femme;2;13
Grover;Truman;772451941;Femme;1;14
Bill;Kennedy;782875176;Homme;3;15
Benjamin;Coolidge;762646073;Femme;1;16
Harry;Jefferson;751143088;Femme;3;17
Harry;Adams;772695541;Femme;1;18
John;Reagan;705760251;Femme;1;19
Franklin;Ford;706227359;Femme;2;20
Franklin;Ford;774853704;Homme;1;21
Franklin;Taft;763942271;Femme;3;22
Dwight;Harrison;782029001;Homme;2;23
Grover;Tyler;789816961;Homme;3;24
Franklin;Jackson;702747127;Femme;3;25
Thomas;Harrison;750240554;Homme;3;26
Herbert;Hoover;776739213;Homme;2;27
Chester;Harrison;766214005;Femme;2;28
James;Johnson;785449713;Homme;1;29
Millard;Polk;784165931;Homme;2;30
Chester;Buchanan;769596929;Femme;1;31
Bill;Washington;750385140;Homme;2;32
William;Wilson;772131664;Homme;1;33
Bill;Roosevelt;780989147;Femme;1;34
Ulysses;Polk;761266320;Homme;3;35
Gerald;Ford;778765295;Femme;3;36
Franklin;Coolidge;761643830;Homme;2;37
James;Washington;755187769;Femme;1;38
Harry;Reagan;700243067;Femme;2;39
Bill;Reagan;773695559;Femme;1;40
Richard;Monroe;760850782;Femme;3;41
Rutherford;Pierce;768733230;Femme;2;42
Woodrow;Monroe;776502450;Femme;1;43
Rutherford;Buchanan;705685292;Femme;1;44
Rutherford;Nixon;774336098;Femme;3;45
Lyndon;Tyler;775114018;Homme;3;46
Lyndon;Harrison;785602416;Femme;2;47
Thomas;Monroe;765839837;Homme;2;48
Harry;Garfield;780747333;Homme;2;49
Grover;Jackson;751081210;Homme;3;50
Andrew;Eisenhower;782810571;Homme;3;51
Woodrow;Carter;701416431;Femme;1;52
Calvin;Quincy;776566602;Femme;1;53
Ronald;Harrison;772797886;Homme;1;54
Lyndon;Adams;767443684;Femme;2;55
Rutherford;Harding;789713493;Femme;1;56
Chester;Washington;757247801;Femme;3;57
Rutherford;Pierce;775147430;Femme;1;58
Abraham;Tyler;754247921;Femme;3;59
Abraham;Adams;764863566;Homme;2;60
Ronald;Reagan;700005733;Homme;2;61
James;Wilson;787050160;Femme;3;62
George;Reagan;708851100;Homme;2;63
Ulysses;McKinley;700066701;Homme;1;64
George;Garfield;769327605;Homme;3;65
John;Polk;781767609;Femme;2;66
George;Harding;750140947;Homme;3;67
Woodrow;Johnson;781368880;Femme;2;68
Ulysses;Johnson;751949101;Femme;1;69
Gerald;Pierce;754618309;Homme;2;70
John;Clinton;778207115;Homme;3;71
Franklin;Roosevelt;778923702;Homme;1;72
Lyndon;Polk;766613008;Homme;2;73
Martin;Quincy;761905565;Femme;3;74
Chester;Adams;771309571;Homme;2;75
Richard;Jefferson;768656158;Homme;1;76
Martin;Kennedy;769459465;Homme;1;77
Chester;Harrison;776935013;Homme;1;78
Rutherford;Jackson;774540609;Homme;2;79
William;Carter;703656918;Homme;1;80
Bill;Carter;780740978;Homme;2;81
Woodrow;Cleveland;709867641;Homme;3;82
Chester;Garfield;707805450;Homme;1;83
Theodore;Arthur;776726477;Femme;2;84
Gerald;Eisenhower;767799069;Homme;3;85
Calvin;Wilson;755360270;Homme;1;86
Benjamin;Jefferson;783756321;Femme;1;87
George;Coolidge;775874853;Femme;3;88
Bill;Reagan;780018650;Homme;1;89
Thomas;Pierce;765171864;Femme;2;90
Millard;Monroe;757748249;Femme;1;91
George;Kennedy;759414268;Homme;3;92
Bill;Johnson;770816967;Femme;3;93
Chester;Carter;765441824;Femme;2;94
Herbert;Grant;774825518;Femme;1;95
Woodrow;Cleveland;755463769;Homme;1;96
Lyndon;Madison;700202701;Homme;3;97
Herbert;Buchanan;762341835;Homme;3;98
Chester;Washington;758807729;Femme;1;99
Martin;Clinton;754766320;Femme;3;100
