idClient,Prenom,Nom,Telephone,Sexe,Niveau
1,Fatou,FAYE,762152472,F,A
2,Aissatou,WADE,774251238,M,C
3,Moussa,DIOP,774624122,F,C
4,KHadim,DIOP,765544968,M,C
5,Aby,WADE,764394707,M,B
6,Khalil,FAYE,762883185,M,A
7,Fatou,WADE,781357747,F,A
8,Aissatou,GASSAMA,768707000,F,B
9,Fatou,WADE,709593985,F,C
10,Binetou,BA,708852884,F,C
11,Aby,GASSAMA,787640209,M,A
12,Binetou,THIAM,708371086,M,C
13,Binetou,WADE,789554857,F,A
14,Fatou,FAYE,786283527,M,A
15,Latyr,FAYE,775946254,M,C
16,Moussa,WADE,706776048,M,B
17,KHadim,DIOP,764917439,M,C
18,Aby,FALL,703507573,F,B
19,Fatou,WADE,706338867,M,A
20,Latyr,DIOUF,775619326,M,B
21,Modou,FAYE,704382119,M,B
22,Fatou,THIAM,771801119,M,B
23,Fatou,DIOP,767067461,M,B
24,KHadim,BA,788712077,M,A
25,Khalil,FAYE,784496105,F,B
26,Khalil,THIAM,771621374,M,B
27,Moussa,THIAM,702288813,M,A
28,KHadim,FAYE,764000195,M,B
29,Aissatou,WADE,776758083,M,C
30,Aissatou,FAYE,705378037,M,A
31,Mamadou,GASSAMA,761940120,F,B
32,Mamadou,THIAM,708386280,F,A
33,Moussa,FALL,786376445,F,A
34,Fatou,GASSAMA,784650084,F,C
35,Latyr,FAYE,701060424,M,C
36,Modou,WADE,782991734,M,A
37,Khalil,WADE,774617406,F,B
38,Binetou,THIAM,703920270,F,C
39,Fatou,DIOP,773861620,M,B
40,Aby,DIOUF,780861077,M,A
41,KHadim,BA,774403289,M,B
42,Fatou,GASSAMA,782355600,M,A
43,Djily,FAYE,777968032,F,B
44,Aby,WADE,779176568,M,C
45,Aby,FAYE,787252527,M,B
46,Aissatou,THIAM,700451366,M,B
47,Aissatou,DIOP,789719624,M,A
48,Aissatou,GASSAMA,779090560,M,C
49,Latyr,FALL,707403001,M,A
50,Fatou,THIAM,781299031,F,B
51,Binetou,BA,704725864,M,C
52,Binetou,FALL,769641564,F,A
53,Binetou,FALL,704451620,M,A
54,Binetou,DIOP,766484711,M,C
55,Aissatou,GASSAMA,704156819,F,C
56,Moussa,GASSAMA,766273237,F,A
57,Moussa,THIAM,702377692,M,C
58,Aby,GASSAMA,764533386,F,A
59,Moussa,BA,780054601,F,A
60,Modou,DIOP,701131849,F,B
61,Fatou,DIOP,762281815,M,B
62,Moussa,DIOP,764652359,F,B
63,Modou,DIOP,786549847,M,B
64,Modou,DIOP,765341120,M,A
65,Binetou,FALL,763165060,M,B
66,Aby,WADE,770484591,F,A
67,Mamadou,DIOUF,765799481,M,C
68,Binetou,BA,763493291,M,A
69,Aby,FALL,771719484,M,A
70,Moussa,FAYE,780285269,M,C
71,KHadim,WADE,705662081,M,A
72,Mamadou,WADE,705617496,F,B
73,Aby,GASSAMA,781277099,F,B
74,Moussa,WADE,763172186,M,B
75,Modou,DIOP,776815269,M,C
76,Binetou,DIOP,781801900,M,C
77,Djily,THIAM,705711202,F,A
78,Binetou,WADE,763509172,M,C
79,Fatou,FALL,703458112,F,B
80,Modou,DIOUF,709354111,F,B
81,Khalil,GASSAMA,701994849,M,A
82,Latyr,DIOP,782944364,F,A
83,Latyr,WADE,775651878,M,A
84,Modou,DIOUF,701752739,M,C
85,Mamadou,BA,706126389,M,C
86,Mamadou,WADE,705409257,M,C
87,Moussa,FALL,788236531,M,B
88,Fatou,FAYE,771241447,F,B
89,Djily,DIOP,783299659,M,A
90,Fatou,FALL,770910154,M,A
91,Modou,DIOUF,767664078,M,B
92,Mamadou,FALL,786790972,M,A
93,Aissatou,DIOUF,709288192,M,B
94,Modou,DIOUF,760682142,M,C
95,Mamadou,BA,703030756,M,B
96,Aby,FALL,783565424,M,A
97,Djily,GASSAMA,785998106,M,A
98,Khalil,FALL,772890431,M,C
99,Djily,BA,769068782,M,C
100,Latyr,DIOUF,786234973,F,B
